date,trueNum,p_true,rank,brier,observationsUsed
1970-02-19,612,0.0006845238095238096,854,0.9997471547199127,50
1970-02-19,282,0.0008458124212654208,610,0.9994162197779056,51
1970-02-19,480,0.0010417314132563325,359,0.9990213652531581,52
1970-02-19,398,0.0009067526074328817,525,0.9992932840657197,53
1970-02-19,997,0.000951220459910905,470,0.9992051500161048,54
1970-02-26,876,0.0009982850375458135,406,0.9991112463577028,55
1970-02-26,768,0.0012247996493864265,221,0.9986582786245723,56
1970-02-26,890,0.0013690912652676848,149,0.998373995798176,57
1970-02-26,155,0.0012517725724390802,200,0.9986150132670246,58
1970-02-26,237,0.0007643729682700556,718,0.9995937881360919,59
1970-02-26,610,0.0007982287254524452,672,0.9995211425838583,60
1970-02-26,869,0.0010971074478045592,295,0.9989196654726005,61
1970-03-05,562,0.0008458955267257215,620,0.9994237076358486,62
1970-03-05,496,0.0015500112204805138,84,0.9980122183997842,63
1970-03-05,575,0.0010029633289984686,387,0.9991142792667588,64
1970-03-05,431,0.0007302243088158579,758,0.9996595844649004,65
1970-03-05,063,0.000551052191188526,980,1.0000137432132241,66
1970-03-05,991,0.0008957358825993338,536,0.9993142309562485,67
1970-03-05,127,0.0007631798819219872,748,0.9995790777732334,68
1970-03-12,976,0.0010356332403216157,357,0.9990297066293615,69
1970-03-12,804,0.0010210006571261673,362,0.9990598308341421,70
1970-03-12,979,0.0012119972716008107,251,0.9986786213711866,71
1970-03-12,564,0.001101202664006184,316,0.9989033845204552,72
1970-03-12,432,0.0009696672887746619,416,0.9991681712492687,73
1970-03-12,821,0.0007692422539646337,725,0.9995691728133985,74
1970-03-12,145,0.0007289062241135299,777,0.9996461066969005,75
1970-03-19,255,0.0012429173779699902,206,0.9986140926990333,76
1970-03-19,581,0.0007193766758303984,816,0.9996644477529744,77
1970-03-19,245,0.0013311820079271387,169,0.9984357892700662,78
1970-03-19,864,0.0014074051706604485,108,0.9982829485800511,79
1970-03-19,501,0.0008580246913580253,585,0.9993867474470355,80
1970-03-19,448,0.000980070529458635,431,0.9991404300281428,81
1970-03-19,123,0.0005969494049766757,947,0.9999073394334189,82
1970-03-26,089,0.0006792456032317369,873,0.9997358872831643,83
1970-03-26,533,0.0006298107128321889,943,0.9998298287845968,84
1970-03-26,071,0.0008387271458066147,689,0.9994061853972518,85
1970-03-26,920,0.0008266160940377542,696,0.9994290091155676,86
1970-03-26,356,0.0006966490599464439,887,0.9996868022280629,87
1970-03-26,649,0.0007868034239935048,765,0.9995034900311319,88
1970-03-26,545,0.001003298983096963,428,0.9990680529551704,89
1970-04-02,158,0.0012452155963302777,167,0.9985850415048679,90
1970-04-02,016,0.0006281484179588319,966,0.9998223354980216,91
1970-04-02,137,0.0012776026922169804,148,0.9985180055361634,92
1970-04-02,230,0.0009104516630083592,551,0.999250923076794,93
1970-04-02,621,0.0008170819164865842,724,0.9994371025240789,94
1970-04-02,941,0.0008842206158392904,621,0.999300818179307,95
1970-04-02,046,0.0008256368640962564,714,0.9994171736975376,96
1970-04-09,035,0.0009333227721105924,565,0.9992001689649251,97
1970-04-09,845,0.0011888743968957165,209,0.9986890153006326,98
1970-04-09,124,0.0010572621681327972,365,0.9989549818356831,99
1970-04-09,715,0.0007588279489105939,800,0.999553034622573,100
1970-04-09,148,0.0011911735190725165,185,0.9986866281852096,101
1970-04-09,211,0.0008124577530649285,726,0.9994466471985815,102
1970-04-09,155,0.0020709425863164673,2,0.9969282476530401,103
1970-04-16,907,0.0007535983611926357,816,0.9995693085217325,104
1970-04-16,430,0.0010094049366526994,423,0.9990549906151732,105
1970-04-16,420,0.0010863306628095544,326,0.9989016638676079,106
1970-04-16,122,0.0009911273441364353,437,0.9990934280042181,107
1970-04-16,809,0.001377259156502122,107,0.9983218403354802,108
1970-04-16,935,0.0011771975841431072,217,0.998721985105614,109
1970-04-16,330,0.0006949527652652646,860,0.9996888623230054,110
1970-04-23,096,0.0013742481102460725,106,0.9983277575365979,111
1970-04-23,974,0.0010545918035354184,365,0.9989670799427677,112
1970-04-23,120,0.0012805692199901527,153,0.998516142057441,113
1970-04-23,460,0.001652927724427514,28,0.9977744129582572,114
1970-04-23,400,0.001214382493273544,205,0.9986541994910045,115
1970-04-23,752,0.0008229581870866376,689,0.9994396074079427,116
1970-04-23,770,0.0010866682220185846,306,0.998910740216509,117
1970-04-30,919,0.0007943646425851129,734,0.9994967658493519,118
1970-04-30,120,0.0019501657966323805,4,0.997183352483399,119
1970-04-30,505,0.0010363238832173753,363,0.9990159459934933,120
1970-04-30,226,0.00100984202629716,396,0.999069779838842,121
1970-04-30,522,0.0009430310232449263,519,0.9992038601570854,122
1970-04-30,962,0.0009425502653716646,535,0.9992046721977211,123
1970-04-30,499,0.0012303420637071734,189,0.9986287589329328,124
1970-05-07,570,0.0016997408931565302,26,0.9976921447321389,125
1970-05-07,640,0.000960854638923304,480,0.9991729104722172,126
1970-05-07,423,0.0007576927301353115,763,0.9995796434194857,127
1970-05-07,900,0.0012742898717823927,174,0.9985459648990579,128
1970-05-07,828,0.0010527850523158406,368,0.998991808576608,129
1970-05-07,430,0.0020074047318042196,8,0.9970834308313233,130
1970-05-14,012,0.0006716440046108866,865,0.9997600761963131,131
1970-05-14,505,0.0015801436531791525,54,0.9979391589413457,132
1970-05-14,215,0.0009200685429541772,525,0.9992611723696394,133
1970-05-14,735,0.0010738742835096995,338,0.9989533218130051,134
1970-05-14,442,0.0011155870623410615,283,0.9988710305610001,135
1970-05-14,320,0.000861394929082176,621,0.999380760601775,136
