date,trueNum,p_true,rank,brier,observationsUsed
1970-01-04,939,0.0007883538478598332,904,0.9995655243626741,2
1970-01-04,935,0.0023191690290984062,12,0.9965108213014563,3
1970-01-04,852,0.0008624394550079534,561,0.9995349706669989,4
1970-01-04,146,0.0006456605859590929,732,0.999969502273046,5
1970-01-04,526,0.0007411585176441351,693,0.9997361933651339,6
1970-01-04,521,0.0009036075782164791,426,0.9993954664006202,7
1970-01-04,092,0.0007532333921222807,718,0.9997011737633517,8
1970-01-04,979,0.0009329216812501474,491,0.9993349225091565,9
1970-01-04,211,0.000620049504950496,814,0.9999682987574747,10
1970-01-04,012,0.0013583974402723326,201,0.9984575481097199,11
1970-01-04,715,0.0009166857217521989,432,0.9993674949069487,12
1970-01-04,657,0.0007401520027592303,653,0.9997260769249912,13
1970-01-04,177,0.0007824484987946499,558,0.999630152843901,14
1970-01-04,829,0.0010686108374384222,348,0.9990426216004744,15
1970-01-04,617,0.0018576243911704825,40,0.9974698874638395,16
1970-01-05,138,0.0007806108374384235,516,0.9996570689768686,15
1970-01-05,811,0.0008751578999512814,768,0.9993124735138749,1
1970-01-05,506,0.000788353847859833,686,0.999520347227233,2
1970-01-05,722,0.0007260875543601321,855,0.9996577737259554,3
1970-01-05,019,0.0008624394550079506,748,0.9993834658523364,4
1970-01-05,782,0.0010901050304035383,337,0.9989459798849863,5
1970-01-05,065,0.0007411585176441351,864,0.9996777274890191,6
1970-01-05,995,0.0007000659539543158,917,0.9997523744739755,7
1970-01-05,132,0.0015248383303938923,57,0.998089931623719,8
1970-01-05,564,0.000787127833750513,608,0.9996073396957138,9
1970-01-05,155,0.0010575495049505012,286,0.9990588148465837,10
1970-01-05,505,0.0017903162395380714,56,0.9976127481204456,11
1970-01-05,017,0.0009166857217521973,406,0.9994029018409906,12
1970-01-05,227,0.0006579624737052319,714,0.9999243881912557,13
1970-01-05,702,0.001795179980276123,66,0.9976205915898959,14
1970-01-05,170,0.0006206108374384237,786,1.0000033007697355,15
1970-01-06,578,0.0008331908314712394,494,0.9995832116435021,31
1970-01-06,869,0.0008751578999512844,820,0.9993124735138749,1
1970-01-06,993,0.0007883538478598342,932,0.999520347227233,2
1970-01-06,295,0.0009536706221798865,298,0.999202607590316,3
1970-01-06,746,0.0006802237115677209,945,0.9997814893521797,4
1970-01-06,165,0.0010901050304035396,157,0.9989459798849863,5
1970-01-06,229,0.000985299142644135,310,0.9991876580996758,6
1970-01-06,188,0.0009036075782164776,394,0.9993707325348256,7
1970-01-06,299,0.0028108465608465694,12,0.9955627519838341,8
1970-01-06,432,0.0005684370625010572,953,1.000134601877819,9
1970-01-06,907,0.0006200495049504967,927,0.9999732801931184,10
1970-01-06,215,0.0011424380406394596,226,0.998894723337012,11
1970-01-06,796,0.0012453859471466362,223,0.9987168539547773,12
1970-01-06,046,0.0007401520027592306,725,0.9997493414403829,13
1970-01-06,735,0.0013611522024983486,154,0.9984917548599599,14
1970-01-06,265,0.0028926108374384236,11,0.9954486411920409,15
1970-01-06,437,0.0008335005859815966,477,0.9996304215218933,16
1970-01-07,205,0.0017071619698406117,90,0.9978006905576455,48
1970-01-07,729,0.0008751578999512816,694,0.9993124735138749,1
1970-01-07,038,0.0007883538478598334,952,0.999520347227233,2
1970-01-07,385,0.0009536706221798829,344,0.999202607590316,3
1970-01-07,946,0.0006802237115677207,971,0.9997814893521797,4
1970-01-07,326,0.0016826976229961277,47,0.9977607946998012,5
1970-01-07,161,0.0006190882051441351,864,0.9999502676535342,6
1970-01-07,404,0.0007000659539543154,716,0.999752677664081,7
1970-01-07,137,0.0008389672741524602,464,0.9994619288965649,8
1970-01-07,821,0.0009329216812501489,503,0.9992761827898724,9
1970-01-07,430,0.0008700495049504993,572,0.9994140753663857,10
1970-01-07,735,0.0017903162395380735,75,0.9975774753960587,11
1970-01-07,909,0.0010575572469212439,354,0.9990867768829794,12
1970-01-07,119,0.0008634362963402292,439,0.9994792649334983,13
1970-01-07,922,0.0009271244247205757,463,0.9993548218723554,14
1970-01-07,851,0.0006846108374384234,794,0.9998454112387799,15
1970-01-07,693,0.0005205738677294377,1000,1.0001551823346941,16
1970-01-08,910,0.0008250391236306733,555,0.9995383426731199,65
1970-01-08,331,0.0008751578999512851,452,0.9993124735138749,1
1970-01-08,751,0.0010777056997116835,352,0.9989416435235293,2
1970-01-08,975,0.0009536706221798848,557,0.9992418181152933,3
1970-01-08,169,0.0006802237115677214,734,0.9998180031919325,4
1970-01-08,074,0.0007938087341072409,811,0.9995693813959501,5
1970-01-08,347,0.0007411585176441351,654,0.9996774848045011,6
1970-01-08,156,0.0009036075782164766,380,0.999345089098714,7
1970-01-08,484,0.0006674995100921031,798,0.9998254001087302,8
1970-01-08,145,0.001370303223749059,100,0.9984012029647644,9
1970-01-08,420,0.0007450495049504968,639,0.9996829723342074,10
1970-01-08,442,0.0009804684909148122,357,0.9991991518689106,11
1970-01-08,348,0.001057557246921245,282,0.9990587598790367,12
1970-01-08,140,0.0029592692872171932,2,0.9952750305032835,13
1970-01-08,405,0.0009271244247205754,359,0.9994088903084914,14
1970-01-08,272,0.0006846108374384229,728,0.9998979814516665,15
1970-01-08,424,0.0013455624885760384,181,0.9985518100163538,16
1970-01-09,734,0.0010130338958125457,381,0.999118719900912,82
1970-01-09,954,0.0012508153004020706,249,0.9985611587129732,1
1970-01-09,654,0.0022351131071190813,16,0.9966720058441556,2
1970-01-09,272,0.0007260875543601329,616,0.9998282400887797,3
1970-01-09,222,0.001226870941888415,120,0.9987991883290709,4
